stage,stage_id,case_id,pitch_cp_0,pitch_cp_1,pitch_cp_2,pitch_cp_3,pitch_cp_4,pitch_cp_5,chord_cp_0,chord_cp_1,chord_cp_2,chord_cp_3,chord_cp_4,failed
infill2,2,36,1.054511862,0.05,0.35,0.4733233211,0.15,0.6110873563,0.2000170476,0.6771155988,0.1568118984,0.5226322281,0.1970959921,0
infill2,2,37,0.8,0.05,0.35,0.5,0.4099754395,0.6376199405,0.2,0.5604169554,0.15,0.4886923966,0.1840994088,0
infill2,2,38,0.9583512355,0.05,0.35,0.252357634,0.15,0.5720347074,0.2001697947,0.6622001369,0.1511765064,0.6073885064,0.2278959413,1
infill2,2,39,0.8,1.0,0.35,0.1524586994,0.15,0.5663651856,0.2,0.6874679286,0.15,0.5405438123,0.2429441172,0
infill2,2,40,0.8,0.05,0.75,0.15,0.15,0.5965448124,0.2,0.6728834478,0.15,0.5622208941,0.2233238803,0
infill2,2,41,0.8278645092,0.05,0.75,0.15,0.1850366176,0.6477892312,0.2,0.6578887525,0.15,0.5898992263,0.1913792939,0
infill2,2,42,1.079485007,0.4597835634,0.35,0.15,0.15,0.5423143365,0.2,0.679553574,0.5,0.4545082245,0.1809865821,0
infill2,2,43,1.25,0.05,0.75,0.3360592821,0.15,0.5574248172,0.2,0.7014014242,0.2868439777,0.5472929079,0.3,0
infill2,2,44,1.064796881,0.05,0.5459235744,0.3553218832,0.15,0.5973087144,0.2,0.7327614259,0.2407235668,0.4582350725,0.1717029591,0
infill2,2,45,0.8,1.0,0.35,0.15,0.15,0.4,0.2,0.45,0.15,0.7,0.1,1
infill2,2,46,1.25,0.05,0.75,0.15,0.5,0.7,0.3,0.45,0.5,0.7,0.1,1
infill2,2,47,1.25,0.05,0.35,0.15,0.5,0.7,0.3,0.45,0.5,0.7,0.1,1
infill2,2,48,1.25,1.0,0.75,0.15,0.5,0.4,0.2,0.45,0.15,0.7,0.1,1
infill2,2,49,1.25,1.0,0.75,0.5,0.15,0.7,0.3,0.45,0.5,0.7,0.1,1
infill2,2,50,0.8,0.05,0.35,0.5,0.5,0.4,0.2,0.45,0.5,0.7,0.3,1
infill2,2,51,0.8,1.0,0.75,0.15,0.15,0.7,0.2,0.85,0.15,0.7,0.3,1
infill2,2,52,1.25,1.0,0.35,0.5,0.15,0.7,0.3,0.85,0.15,0.7,0.3,1
infill2,2,53,1.25,0.05,0.35,0.15,0.15,0.7,0.2,0.85,0.15,0.7,0.3,1
infill2,2,54,0.8,1.0,0.35,0.5,0.5,0.7,0.2,0.85,0.15,0.7,0.3,0
infill2,2,55,0.8,1.0,0.35,0.5,0.15,0.4,0.3,0.85,0.5,0.7,0.3,1
infill2,2,56,0.8,1.0,0.75,0.5,0.15,0.4,0.2,0.85,0.5,0.7,0.3,1
infill2,2,57,1.25,0.05,0.35,0.5,0.5,0.7,0.2,0.85,0.5,0.7,0.3,1
infill2,2,58,1.25,1.0,0.35,0.5,0.5,0.4,0.2,0.85,0.15,0.7,0.3,1
infill2,2,59,0.8,0.05,0.75,0.5,0.5,0.7,0.2,0.85,0.15,0.7,0.1,0
